PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2744,00,0,915,651,28.7,6.7,13.5,0.499,0.0,0.1,0.121,2.2,3.1,0.711,2.2,6.2,8.4,1.5,0.7,1.2,1.3,2.6,15.7
2210,00,0,1181,809,29.0,4.4,9.4,0.464,0.9,2.3,0.376,3.0,3.9,0.768,0.8,3.2,4.0,2.0,0.7,0.3,1.5,2.2,12.6
201949,00,0,758,243,20.3,3.0,6.4,0.474,0.5,1.7,0.302,1.1,1.6,0.679,0.8,2.8,3.5,2.1,0.8,0.9,1.4,2.3,7.6
2207,00,0,1277,1091,34.6,6.1,13.9,0.441,1.5,4.2,0.371,2.2,2.7,0.802,0.8,3.1,4.0,3.9,0.8,0.2,1.9,1.8,16.0
2563,00,0,624,157,15.7,1.9,4.4,0.439,0.2,0.5,0.329,1.3,1.8,0.751,0.4,1.3,1.7,0.8,0.4,0.2,0.8,1.9,5.4
2592,00,0,709,93,15.7,1.7,4.2,0.401,1.1,2.7,0.401,0.7,0.9,0.84,0.3,1.5,1.8,0.5,0.3,0.3,0.3,1.3,5.2
201599,00,0,1010,780,26.4,3.6,5.4,0.674,0.0,0.0,0.154,1.7,3.6,0.475,3.0,7.2,10.2,0.9,0.5,1.5,1.4,2.5,9.0
2549,00,0,735,538,26.7,4.7,9.6,0.489,0.0,0.0,0.042,1.8,2.5,0.743,2.0,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2
467,00,0,1391,1350,36.0,4.5,11.2,0.4,1.4,4.1,0.349,2.2,2.8,0.785,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6
1905,00,0,797,546,30.0,3.9,8.3,0.474,0.5,1.5,0.31,3.5,4.6,0.754,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8
2594,00,0,1232,423,25.3,3.3,7.5,0.442,2.0,4.6,0.429,1.1,1.2,0.877,0.3,2.7,3.0,1.7,0.7,0.3,1.0,2.0,9.7
201584,00,0,811,518,27.1,3.7,8.1,0.451,1.1,2.8,0.388,1.2,1.4,0.853,0.4,2.2,2.6,1.7,1.0,0.3,0.9,1.7,9.6
101135,00,0,829,505,29.3,5.5,10.3,0.535,0.0,0.0,0.034,2.5,3.2,0.772,2.6,6.2,8.8,2.2,0.8,0.4,1.8,2.6,13.5
1740,00,0,1049,842,32.0,5.4,11.9,0.452,1.7,4.4,0.386,2.4,3.0,0.805,1.4,3.8,5.2,1.7,1.1,0.5,1.5,2.3,14.9
2733,00,0,833,191,20.6,2.6,5.3,0.486,0.0,0.1,0.178,1.1,1.4,0.794,0.6,1.8,2.4,3.0,0.7,0.4,1.2,1.8,6.3
201572,00,0,911,871,30.2,6.2,12.6,0.494,0.8,2.3,0.346,3.0,3.8,0.796,2.0,4.2,6.2,1.4,0.6,1.8,1.7,2.6,16.3
201577,00,0,964,604,21.6,3.6,6.7,0.537,0.1,0.2,0.298,1.3,1.8,0.742,2.2,2.6,4.8,0.8,0.2,1.1,1.1,1.9,8.6
201567,00,0,849,662,30.4,5.7,12.9,0.439,1.8,4.9,0.372,4.1,4.9,0.83,2.5,8.0,10.5,2.3,0.6,0.4,1.9,2.0,17.2
200768,00,0,1059,823,32.0,4.7,11.1,0.424,1.9,5.3,0.367,3.3,4.1,0.815,0.8,3.6,4.4,6.3,1.3,0.3,2.4,2.8,14.7
101249,00,0,242,8,12.1,1.9,4.9,0.383,0.7,2.0,0.344,0.3,0.4,0.768,0.2,0.7,1.0,1.5,0.4,0.0,0.5,0.8,4.7
1894,00,0,827,478,28.2,4.9,10.8,0.453,0.6,1.7,0.324,5.6,6.8,0.822,1.1,3.8,4.9,2.1,0.7,0.2,2.3,2.8,16.0
101133,00,0,618,133,16.7,1.9,3.6,0.533,0.0,0.1,0.16,1.3,2.1,0.612,1.5,2.9,4.4,0.6,0.6,0.7,1.0,2.6,5.2
1890,00,0,1163,1062,34.5,6.3,12.9,0.484,0.7,2.1,0.331,2.0,2.5,0.81,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2
1626246,00,0,301,25,9.0,2.2,3.8,0.576,0.0,0.1,0.25,1.4,1.8,0.766,1.3,2.4,3.7,0.5,0.2,0.3,0.6,1.1,5.7
2030,00,0,757,667,30.6,5.1,10.6,0.483,0.1,0.4,0.234,2.0,3.2,0.629,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3
2755,00,0,714,504,30.2,5.4,12.3,0.437,1.6,4.2,0.384,5.0,5.7,0.87,0.6,2.6,3.2,1.9,0.9,0.1,1.7,1.9,17.4
2427,00,0,518,103,17.7,2.3,5.7,0.408,1.1,3.0,0.383,0.6,0.7,0.866,0.2,1.6,1.7,1.3,0.4,0.1,0.7,1.4,6.3
202083,00,0,925,754,30.0,4.1,9.7,0.42,1.9,5.2,0.377,1.8,2.2,0.824,0.5,2.3,2.8,1.9,1.0,0.2,1.1,2.1,11.9
201601,00,0,689,453,23.3,2.4,5.4,0.454,0.3,0.9,0.334,1.2,1.8,0.659,1.4,2.7,4.1,0.9,0.9,0.4,0.9,1.8,6.4
201580,00,0,849,343,16.7,3.3,5.8,0.577,0.0,0.1,0.186,1.1,1.8,0.604,1.8,3.3,5.2,0.4,0.4,1.4,1.0,2.2,7.8
1626257,00,0,204,22,11.9,1.4,2.3,0.603,0.1,0.2,0.293,0.6,1.0,0.59,1.3,2.7,4.0,0.5,0.4,0.9,0.6,1.9,3.4
101139,00,0,849,303,20.4,3.4,8.3,0.411,1.5,4.1,0.358,1.3,1.6,0.809,0.4,1.9,2.4,1.1,0.7,0.3,0.9,2.1,9.6
1889,00,0,1304,939,30.9,4.6,10.0,0.461,0.1,0.7,0.217,3.1,3.8,0.807,1.1,2.6,3.7,6.5,1.2,0.2,2.4,2.2,12.5
2034,00,0,1032,570,27.0,3.9,8.5,0.459,1.5,3.8,0.407,1.3,1.7,0.769,0.6,3.6,4.2,2.6,0.6,0.2,1.5,2.0,10.6
201988,00,0,846,106,20.5,3.2,7.6,0.427,1.7,4.5,0.39,0.8,1.0,0.856,0.3,1.4,1.7,2.3,0.6,0.1,1.0,1.3,9.1
200794,00,0,1085,746,28.1,5.0,10.3,0.489,0.5,1.5,0.341,2.8,3.9,0.736,2.2,4.9,7.1,2.2,1.2,1.0,1.7,3.0,13.4
1737,00,0,1005,354,15.8,2.4,4.9,0.486,0.0,0.0,0.0,1.0,1.6,0.64,1.8,2.9,4.7,0.4,0.4,0.6,0.9,2.1,5.8
202693,00,0,735,377,24.4,4.1,9.3,0.446,0.9,2.5,0.344,1.6,2.1,0.778,1.2,3.9,5.1,1.6,0.8,0.5,1.5,2.7,10.8
202694,00,0,759,478,27.2,4.6,10.5,0.436,1.6,4.3,0.378,1.7,2.2,0.774,0.9,3.7,4.6,1.5,0.7,0.3,1.2,2.2,12.5
2211,00,0,729,482,27.3,3.9,8.8,0.445,0.8,2.2,0.388,2.1,2.7,0.785,1.9,5.9,7.8,1.5,0.7,0.4,1.2,2.6,10.8
959,00,0,1217,1053,31.3,5.2,10.6,0.49,1.4,3.2,0.428,2.5,2.8,0.904,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3
2749,00,0,878,640,27.9,4.3,9.9,0.436,1.3,3.6,0.368,1.4,1.7,0.81,0.5,2.5,3.0,5.1,0.9,0.1,2.1,2.5,11.3
2403,00,0,965,626,26.1,4.3,7.9,0.548,0.0,0.1,0.132,2.6,4.0,0.66,1.7,4.3,6.0,1.8,1.1,0.7,1.7,3.0,11.3
201149,00,0,672,512,27.7,3.3,6.8,0.491,0.0,0.0,0.0,2.1,2.9,0.7,3.2,5.8,9.0,2.8,0.8,1.3,1.7,2.8,8.8
200779,00,0,467,6,12.1,1.6,3.7,0.437,1.2,2.9,0.43,0.2,0.2,0.877,0.1,1.1,1.3,0.3,0.2,0.1,0.2,0.8,4.7
1717,00,0,1522,1460,33.8,7.3,15.6,0.471,1.3,3.4,0.38,4.8,5.4,0.879,1.0,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7
979,00,0,1011,697,27.1,5.1,10.9,0.467,0.0,0.1,0.147,3.0,4.2,0.715,2.0,5.2,7.2,1.4,0.5,1.8,1.9,2.9,13.2
1885,00,0,961,684,33.4,5.0,10.8,0.463,0.7,2.2,0.312,2.6,3.7,0.693,1.9,6.5,8.4,3.7,0.9,0.9,2.3,3.0,13.3
2731,00,0,616,603,30.9,4.9,9.5,0.512,0.0,0.0,0.0,2.2,3.8,0.586,3.2,6.5,9.7,0.8,0.7,1.6,1.6,2.8,12.0
2585,00,0,1098,516,20.3,2.4,5.1,0.469,0.0,0.0,0.0,2.0,2.7,0.751,2.2,3.6,5.8,1.3,0.7,0.3,1.3,2.5,6.8
2457,00,0,499,18,14.9,2.5,6.3,0.391,0.8,2.3,0.356,0.6,0.7,0.864,0.2,1.2,1.4,2.0,0.5,0.1,1.1,1.3,6.4
202951,00,0,86,16,13.1,1.9,4.9,0.379,0.4,1.4,0.319,0.7,1.0,0.644,0.2,0.8,1.0,1.8,0.3,0.0,1.2,1.2,4.8
2225,00,0,1254,1151,30.5,6.2,12.6,0.491,0.4,1.3,0.324,2.7,3.6,0.751,0.4,2.4,2.7,5.6,0.8,0.1,2.3,1.6,15.5
101108,00,0,1181,1181,34.5,6.4,13.5,0.472,1.3,3.6,0.369,4.0,4.5,0.87,0.6,3.9,4.5,9.5,2.1,0.2,2.4,2.4,18.0
2570,00,0,782,565,21.9,2.2,4.1,0.53,0.0,0.0,0.0,1.0,1.7,0.594,1.7,4.1,5.8,1.0,0.3,1.2,1.6,2.7,5.4
1718,00,0,1343,1285,34.2,6.5,14.5,0.445,1.6,4.3,0.368,5.2,6.4,0.806,0.8,4.8,5.6,3.5,1.3,0.6,2.6,2.7,19.7
101179,00,0,544,73,13.4,1.4,3.6,0.373,0.4,1.5,0.302,0.5,0.7,0.738,0.3,0.9,1.2,1.8,0.8,0.1,0.9,1.7,3.7
203143,00,0,270,51,16.9,1.2,2.9,0.425,0.8,2.0,0.379,0.3,0.3,0.872,0.5,1.3,1.9,2.8,1.0,0.0,1.0,1.6,3.5
2419,00,0,1017,902,31.0,4.5,9.9,0.455,0.6,1.5,0.367,1.5,2.0,0.756,1.1,3.2,4.3,2.4,0.6,0.5,1.0,1.2,11.1
2038,00,0,592,397,19.8,1.5,2.7,0.552,0.0,0.0,0.0,0.8,1.5,0.557,1.9,4.3,6.2,0.4,0.3,1.4,1.0,2.7,3.9
2216,00,0,1116,883,31.0,6.7,14.1,0.471,0.2,0.7,0.273,3.1,4.1,0.764,2.9,6.2,9.1,1.8,0.7,0.3,2.1,2.4,16.6
200755,00,0,940,488,25.5,4.3,9.5,0.447,2.1,5.0,0.415,2.2,2.5,0.892,0.2,1.8,2.0,2.0,0.4,0.1,1.1,1.5,12.8
2202,00,0,857,842,34.1,6.5,14.8,0.438,1.9,5.1,0.37,2.2,3.2,0.707,1.2,3.7,5.0,2.7,1.2,0.4,1.8,2.3,17.1
2047,00,0,783,486,26.5,3.7,9.4,0.397,1.5,4.2,0.355,1.3,1.8,0.718,1.2,3.5,4.7,1.5,0.8,0.2,1.1,2.0,10.3
2557,00,0,830,493,26.1,3.5,8.2,0.431,0.7,2.0,0.349,1.6,1.8,0.862,0.4,1.8,2.3,4.5,1.0,0.2,1.6,2.1,9.3
200765,00,0,957,733,29.9,4.1,8.9,0.456,0.5,1.4,0.324,1.2,1.9,0.611,1.0,3.6,4.5,7.9,1.6,0.1,2.7,2.1,9.8
201565,00,0,698,511,31.0,6.9,15.2,0.456,0.8,2.6,0.316,3.0,3.7,0.831,0.8,2.5,3.3,5.3,0.8,0.3,2.5,1.2,17.7
2422,00,0,895,429,26.4,3.4,7.8,0.431,0.8,2.2,0.366,1.7,2.2,0.799,0.5,2.4,2.9,2.4,0.8,0.3,1.3,1.9,9.3
200757,00,0,869,475,21.9,2.2,4.9,0.449,0.6,1.7,0.349,0.7,1.0,0.732,0.7,3.0,3.7,1.4,1.1,0.4,0.9,1.6,5.7
202397,00,0,739,167,19.6,3.2,7.4,0.43,0.4,1.3,0.325,0.7,1.0,0.676,0.4,2.1,2.4,3.8,0.7,0.3,1.2,1.3,7.5
2747,00,0,977,395,26.9,4.5,10.7,0.419,2.0,5.3,0.373,1.5,2.0,0.733,0.5,2.6,3.1,2.1,1.0,0.2,1.3,2.2,12.4
201160,00,0,616,104,16.3,2.6,5.5,0.468,0.1,0.4,0.333,0.9,1.1,0.783,1.1,2.3,3.4,0.7,0.3,0.7,0.8,2.2,6.1
711,00,0,970,564,31.2,5.6,13.6,0.409,1.0,3.3,0.309,4.8,5.8,0.822,1.0,2.2,3.2,3.3,0.9,0.5,2.7,1.9,16.9
2405,00,0,846,696,31.0,7.0,13.0,0.537,0.0,0.2,0.236,4.9,6.4,0.761,2.4,5.4,7.8,1.2,0.8,1.2,2.3,3.2,18.9
201952,00,0,826,600,26.8,4.3,9.7,0.444,0.9,2.4,0.36,2.7,3.2,0.844,0.3,2.1,2.4,5.6,1.1,0.3,2.2,1.9,12.2
202066,00,0,705,287,21.1,2.2,5.6,0.402,1.0,2.9,0.344,0.8,1.1,0.74,0.4,1.9,2.3,1.7,0.8,0.3,0.9,1.9,6.3
1891,00,0,1410,679,29.8,4.9,11.1,0.444,1.6,4.3,0.38,2.0,2.3,0.845,0.4,2.0,2.3,3.8,1.1,0.2,1.7,1.8,13.4
202738,00,0,550,362,28.3,5.8,13.3,0.434,1.9,5.2,0.362,4.3,4.9,0.872,0.5,1.9,2.4,4.8,0.9,0.1,2.3,2.1,17.7
703,00,0,1110,650,24.5,3.5,7.1,0.486,0.0,0.0,0.281,1.2,1.5,0.76,1.7,4.9,6.6,1.1,0.7,0.8,1.1,3.2,8.1
2224,00,0,547,404,26.4,3.2,8.2,0.393,0.7,2.4,0.299,1.3,1.9,0.716,0.6,2.3,2.9,6.1,1.4,0.3,2.5,2.4,8.5
201229,00,0,730,105,19.4,2.0,4.8,0.414,1.2,3.2,0.373,0.9,1.2,0.771,0.7,2.6,3.3,0.9,0.4,0.3,0.6,1.6,6.1
200782,00,0,818,622,28.9,2.5,5.9,0.425,1.0,2.8,0.364,0.9,1.2,0.749,1.5,4.1,5.6,1.4,1.1,0.3,1.0,2.5,6.9
2045,00,0,997,571,26.8,3.9,9.1,0.426,1.2,3.3,0.384,2.1,2.7,0.784,0.6,3.3,4.0,2.8,0.8,0.3,1.6,2.4,11.1
2757,00,0,831,272,21.9,3.3,7.1,0.463,0.6,1.6,0.349,1.2,1.5,0.833,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4
2760,00,0,632,209,23.9,2.9,5.6,0.509,0.0,0.1,0.023,1.5,2.4,0.63,2.4,4.8,7.2,1.2,0.8,0.6,0.9,2.6,7.2
2756,00,0,581,58,15.3,1.9,4.7,0.39,0.9,2.5,0.367,0.7,0.8,0.858,0.4,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.3
2548,00,0,1054,909,33.9,8.0,16.7,0.48,0.5,1.8,0.293,5.4,7.1,0.765,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0
739,00,0,1109,956,32.7,5.7,12.2,0.467,1.0,2.9,0.336,2.1,2.9,0.721,1.4,5.3,6.7,1.8,1.0,1.3,1.5,2.9,14.4
2575,00,0,564,138,17.2,1.9,4.3,0.429,0.3,1.0,0.326,0.7,0.9,0.715,0.9,2.0,2.8,2.3,0.6,0.2,1.1,1.4,4.7
201228,00,0,600,104,20.2,2.5,6.0,0.419,0.8,2.1,0.373,1.4,1.7,0.812,0.4,1.6,1.9,2.5,0.9,0.1,1.1,1.5,7.2
2248,00,0,878,227,22.2,2.4,5.9,0.411,0.6,1.8,0.324,1.0,1.4,0.703,0.5,1.7,2.3,4.4,1.0,0.2,1.8,2.0,6.4
2561,00,0,1034,742,28.2,5.5,11.1,0.495,0.1,0.2,0.265,2.5,3.0,0.817,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6
201566,00,0,1062,1007,34.5,8.1,18.4,0.437,1.1,3.7,0.304,5.3,6.8,0.781,1.6,5.7,7.4,8.4,1.6,0.3,4.1,2.6,22.5
202355,00,0,511,332,24.7,5.3,9.0,0.586,0.0,0.1,0.308,2.1,3.5,0.605,3.1,7.7,10.8,0.6,0.5,2.2,1.5,2.6,12.6
2863,00,0,582,150,18.9,2.3,5.4,0.426,0.4,1.1,0.327,1.2,1.6,0.783,0.8,1.6,2.3,1.4,0.7,0.2,0.9,1.6,6.2
101114,00,0,845,771,34.2,5.8,13.0,0.445,1.4,3.9,0.357,3.4,4.1,0.822,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3
101150,00,0,1123,122,24.1,4.5,10.7,0.419,1.3,3.7,0.351,3.6,4.3,0.842,0.4,1.8,2.2,3.4,0.8,0.2,1.7,1.3,13.9
101107,00,0,1072,828,28.1,3.7,8.3,0.443,1.0,2.7,0.361,1.9,2.4,0.808,1.2,4.0,5.2,1.3,0.8,0.5,1.0,2.0,10.2
2590,00,0,818,525,29.2,5.0,11.4,0.434,1.3,3.5,0.378,1.9,2.2,0.871,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2
1897,00,0,991,840,31.7,4.7,11.4,0.414,1.2,3.4,0.339,2.6,3.6,0.715,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2
201156,00,0,720,201,22.8,4.0,9.6,0.418,1.4,3.8,0.376,1.9,2.3,0.836,0.4,1.6,2.0,1.0,0.5,0.2,1.0,1.8,11.4
201152,00,0,1120,720,28.9,5.4,10.7,0.502,0.5,1.4,0.33,1.3,1.9,0.663,2.0,3.8,5.8,1.8,1.4,0.4,1.4,2.2,12.5
