FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION,GP_career,GS_career,MIN_career,FGM_career,FGA_career,FG_PCT_career,FG3M_career,FG3A_career,FG3_PCT_career,FTM_career,FTA_career,FT_PCT_career,OREB_career,DREB_career,REB_career,AST_career,STL_career,BLK_career,TOV_career,PF_career,PTS_career
Rasual Butler,2446,2008-09,139,6,True,NOH,30,82,31.9,4.2,9.8,0.433,1.7,4.4,0.39,1.0,1.3,0.782,0.6,2.7,3.3,0.9,0.6,0.7,0.7,1.9,11.2,SF,809,266,21.3,2.8,7.0,0.40299999999999997,1.1,3.1,0.36200000000000004,0.7,1.0,0.747,0.4,2.0,2.4,0.8,0.4,0.5,0.7,1.4,7.5
Jannero Pargo,2457,2006-07,164,-33,True,NOK,27,82,20.9,3.5,8.4,0.409,1.0,2.5,0.38799999999999996,1.3,1.5,0.852,0.2,2.0,2.2,2.5,0.6,0.0,1.5,1.5,9.2,PG,499,18,14.9,2.5,6.3,0.391,0.8,2.3,0.35600000000000004,0.6,0.7,0.8640000000000001,0.2,1.2,1.4,2.0,0.5,0.1,1.1,1.3,6.4
Reggie Evans,2501,2007-08,158,-35,True,PHI,28,81,23.2,1.9,4.3,0.439,0.0,0.0,1.0,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,PF,809,372,19.3,1.4,2.9,0.465,0.0,0.0,0.091,1.3,2.5,0.528,2.5,4.7,7.1,0.6,0.7,0.1,1.1,2.3,4.1
Carmelo Anthony,2546,2016-17,41,-47,True,NYK,33,74,34.3,8.1,18.8,0.433,2.0,5.7,0.359,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,SF,1260,1120,34.5,8.0,18.0,0.447,1.4,3.9,0.355,5.0,6.2,0.8140000000000001,1.6,4.6,6.2,2.7,1.0,0.5,2.4,2.8,22.5
Dwyane Wade,2548,2016-17,61,-66,True,CHI,35,60,29.9,6.9,15.9,0.434,0.8,2.4,0.31,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,SG,1054,909,33.9,8.0,16.7,0.48,0.5,1.8,0.293,5.4,7.1,0.765,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0
Chris Kaman,2549,2006-07,83,66,True,LAC,25,75,29.0,3.9,8.7,0.451,0.0,0.0,0.0,2.2,3.0,0.741,2.1,5.7,7.8,1.1,0.5,1.5,2.0,3.3,10.1,C,735,538,26.7,4.7,9.6,0.489,0.0,0.0,0.042,1.8,2.5,0.743,2.0,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2
Kirk Hinrich,2550,2013-14,156,-95,True,CHI,33,73,29.0,3.3,8.5,0.39299999999999996,1.2,3.3,0.35100000000000003,1.3,1.7,0.76,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,9.1,PG,879,665,30.7,4.0,9.7,0.41100000000000003,1.3,3.6,0.375,1.6,2.0,0.8,0.4,2.6,2.9,4.8,1.1,0.3,1.8,2.8,10.9
Nick Collison,2555,2012-13,152,-53,True,OKC,32,81,19.5,2.2,3.7,0.595,0.0,0.0,0.0,0.7,1.0,0.769,1.5,2.6,4.1,1.5,0.6,0.4,0.9,2.4,5.1,C,910,177,20.4,2.4,4.6,0.534,0.0,0.1,0.20800000000000002,1.0,1.4,0.723,1.9,3.2,5.2,1.0,0.5,0.5,1.0,2.8,5.9
Luke Ridnour,2557,2012-13,109,-128,True,MIN,32,82,30.2,4.5,9.9,0.45299999999999996,0.8,2.6,0.311,1.7,2.0,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,11.5,PG,830,493,26.1,3.5,8.2,0.431,0.7,2.0,0.349,1.6,1.8,0.862,0.4,1.8,2.3,4.5,1.0,0.2,1.6,2.1,9.3
David West,2561,2014-15,62,-83,True,IND,34,66,28.7,4.9,10.4,0.47100000000000003,0.1,0.3,0.2,1.8,2.4,0.7390000000000001,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7,PF,1034,742,28.2,5.5,11.1,0.495,0.1,0.2,0.265,2.5,3.0,0.8170000000000001,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6
Dahntay Jones,2563,2011-12,185,-13,True,IND,31,65,16.2,1.8,4.3,0.409,0.5,1.2,0.429,1.3,1.5,0.838,0.4,1.4,1.8,1.0,0.4,0.2,0.7,1.8,5.3,SG,624,157,15.7,1.9,4.4,0.439,0.2,0.5,0.32899999999999996,1.3,1.8,0.7509999999999999,0.4,1.3,1.7,0.8,0.4,0.2,0.8,1.9,5.4
Boris Diaw,2564,2015-16,193,-56,True,SAS,34,76,18.2,2.7,5.0,0.527,0.3,0.9,0.36200000000000004,0.7,1.0,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,PF,1064,564,27.0,3.6,7.2,0.493,0.4,1.3,0.336,1.0,1.4,0.7170000000000001,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.1,8.6
Kendrick Perkins,2570,2012-13,145,-72,True,OKC,28,78,25.1,1.8,4.0,0.457,0.0,0.0,0.0,0.6,0.9,0.611,1.4,4.6,6.0,1.4,0.6,1.1,1.4,2.9,4.2,C,782,565,21.9,2.2,4.1,0.53,0.0,0.0,0.0,1.0,1.7,0.594,1.7,4.1,5.8,1.0,0.3,1.2,1.6,2.7,5.4
Leandro Barbosa,2571,2014-15,229,-11,True,GSW,32,66,14.9,2.8,5.8,0.474,0.7,1.7,0.384,0.9,1.1,0.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1,SG,850,112,21.6,4.0,8.7,0.45899999999999996,1.2,3.0,0.387,1.5,1.8,0.821,0.4,1.6,2.0,2.1,0.8,0.1,1.2,1.9,10.6
Josh Howard,2572,2006-07,42,-6,True,DAL,27,70,35.1,7.0,15.4,0.45899999999999996,1.3,3.4,0.385,3.5,4.2,0.8270000000000001,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6,18.9,SF,507,403,30.3,5.4,12.2,0.44799999999999995,0.7,2.0,0.332,2.8,3.6,0.77,1.7,4.0,5.7,1.6,1.0,0.5,1.4,2.6,14.3
Steve Blake,2581,2009-10,144,-53,True,TOT,30,80,27.0,2.7,6.5,0.41600000000000004,1.5,3.7,0.395,0.5,0.6,0.75,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3,PG,870,347,23.9,2.4,5.9,0.401,1.2,3.1,0.38299999999999995,0.6,0.7,0.779,0.3,1.8,2.1,4.0,0.7,0.1,1.4,1.5,6.5
Willie Green,2584,2009-10,169,-17,True,PHI,28,73,21.3,3.4,7.4,0.457,0.6,1.9,0.34600000000000003,1.3,1.6,0.833,0.3,1.5,1.8,2.1,0.4,0.2,0.9,1.8,8.7,SG,731,297,20.2,3.3,7.8,0.425,0.7,2.0,0.34600000000000003,1.0,1.3,0.765,0.3,1.5,1.8,1.4,0.5,0.1,1.0,1.7,8.3
Zaza Pachulia,2585,2015-16,66,-64,True,DAL,32,76,26.4,2.9,6.2,0.466,0.0,0.0,0.0,2.8,3.6,0.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6,C,1098,516,20.3,2.4,5.1,0.469,0.0,0.0,0.0,2.0,2.7,0.7509999999999999,2.2,3.6,5.8,1.3,0.7,0.3,1.3,2.5,6.8
Keith Bogans,2586,2009-10,197,-1,True,SAS,30,79,19.7,1.5,3.8,0.40299999999999997,0.9,2.5,0.35700000000000004,0.5,0.6,0.74,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4,SG,671,333,21.7,2.2,5.6,0.39399999999999996,1.1,3.0,0.353,0.9,1.2,0.716,0.6,2.1,2.7,1.3,0.6,0.1,0.9,1.8,6.3
Matt Bonner,2588,2013-14,251,-14,True,SAS,34,61,11.3,1.2,2.7,0.445,0.7,1.6,0.429,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2,PF,792,112,16.9,2.2,4.8,0.46399999999999997,1.0,2.4,0.414,0.4,0.5,0.78,0.8,2.2,3.0,0.7,0.4,0.3,0.4,1.7,5.8
Mo Williams,2590,2008-09,56,-6,True,CLE,26,81,35.0,6.5,13.9,0.467,2.3,5.2,0.436,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7,17.8,PG,818,525,29.2,5.0,11.4,0.434,1.3,3.5,0.37799999999999995,1.9,2.2,0.871,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2
James Jones,2592,2005-06,126,-63,True,PHX,25,75,23.6,3.2,7.7,0.418,1.5,3.8,0.386,1.4,1.6,0.851,0.6,2.8,3.4,0.8,0.5,0.7,0.5,1.9,9.3,SF,709,93,15.7,1.7,4.2,0.401,1.1,2.7,0.401,0.7,0.9,0.84,0.3,1.5,1.8,0.5,0.3,0.3,0.3,1.3,5.2
Kyle Korver,2594,2014-15,76,-82,True,ATL,34,75,32.2,3.9,8.0,0.48700000000000004,2.9,6.0,0.49200000000000005,1.4,1.6,0.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,SG,1232,423,25.3,3.3,7.5,0.442,2.0,4.6,0.429,1.1,1.2,0.877,0.3,2.7,3.0,1.7,0.7,0.3,1.0,2.0,9.7
Udonis Haslem,2617,2011-12,115,-50,True,MIA,32,64,24.8,2.4,5.6,0.423,0.0,0.0,0.0,1.3,1.6,0.8140000000000001,1.8,5.5,7.3,0.7,0.5,0.4,0.9,2.2,6.0,PF,877,501,24.7,3.0,6.2,0.489,0.0,0.1,0.095,1.4,1.9,0.7559999999999999,1.8,4.8,6.6,0.8,0.5,0.3,0.9,2.4,7.5
Dwight Howard,2730,2020-21,109,-39,True,PHI,35,69,17.3,2.6,4.4,0.5870000000000001,0.1,0.3,0.25,1.8,3.0,0.5760000000000001,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7.0,C,1242,1078,31.8,5.7,9.7,0.5870000000000001,0.0,0.1,0.214,4.3,7.6,0.5670000000000001,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7
Emeka Okafor,2731,2008-09,40,-23,True,CHA,26,82,32.8,5.3,9.4,0.561,0.0,0.0,0.0,2.7,4.5,0.593,3.4,6.7,10.1,0.6,0.6,1.7,1.8,3.0,13.2,C,616,603,30.9,4.9,9.5,0.512,0.0,0.0,0.0,2.2,3.8,0.586,3.2,6.5,9.7,0.8,0.7,1.6,1.6,2.8,12.0
Shaun Livingston,2733,2015-16,178,-49,True,GSW,30,78,19.5,2.6,4.9,0.536,0.0,0.2,0.16699999999999998,1.0,1.2,0.86,0.5,1.6,2.2,3.0,0.7,0.3,1.0,1.8,6.3,PG,833,191,20.6,2.6,5.3,0.486,0.0,0.1,0.17800000000000002,1.1,1.4,0.794,0.6,1.8,2.4,3.0,0.7,0.4,1.2,1.8,6.3
Devin Harris,2734,2017-18,201,-44,True,TOT,35,71,18.9,2.6,6.4,0.41200000000000003,1.1,3.2,0.348,2.0,2.4,0.835,0.2,1.6,1.8,2.1,0.7,0.2,1.1,2.2,8.4,PG,985,448,24.3,3.5,8.2,0.43200000000000005,0.8,2.6,0.325,2.8,3.6,0.7959999999999999,0.3,1.9,2.2,3.9,1.0,0.2,1.7,2.2,10.8
Luol Deng,2736,2012-13,53,-12,True,CHI,28,75,38.7,6.2,14.6,0.426,1.0,3.1,0.322,3.1,3.8,0.816,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,16.5,SF,902,828,34.3,5.7,12.5,0.456,0.7,2.2,0.332,2.7,3.5,0.769,1.6,4.4,6.1,2.3,1.0,0.5,1.6,1.7,14.8
Andre Iguodala,2738,2013-14,89,-54,True,GSW,30,63,32.4,3.5,7.3,0.48,1.0,2.8,0.354,1.4,2.1,0.652,0.8,3.8,4.7,4.2,1.5,0.3,1.6,1.6,9.3,SF,1226,784,32.2,4.1,8.9,0.46299999999999997,0.9,2.7,0.33,2.3,3.3,0.7090000000000001,0.9,4.0,4.9,4.2,1.4,0.5,1.8,1.8,11.4
Al Jefferson,2744,2013-14,11,-19,True,CHA,29,73,35.0,9.6,18.8,0.509,0.0,0.2,0.2,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,C,915,651,28.7,6.7,13.5,0.499,0.0,0.1,0.121,2.2,3.1,0.711,2.2,6.2,8.4,1.5,0.7,1.2,1.3,2.6,15.7
JR Smith,2747,2012-13,58,-46,True,NYK,27,80,33.5,6.6,15.6,0.42200000000000004,1.9,5.5,0.35600000000000004,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1,SG,977,395,26.9,4.5,10.7,0.419,2.0,5.3,0.373,1.5,2.0,0.733,0.5,2.6,3.1,2.1,1.0,0.2,1.3,2.2,12.4
Jameer Nelson,2749,2013-14,87,-96,True,ORL,32,68,32.0,4.3,11.0,0.39399999999999996,2.0,5.8,0.348,1.4,1.6,0.857,0.4,3.0,3.4,7.0,0.8,0.1,2.4,2.1,12.1,PG,878,640,27.9,4.3,9.9,0.436,1.3,3.6,0.368,1.4,1.7,0.81,0.5,2.5,3.0,5.1,0.9,0.1,2.1,2.5,11.3
Tony Allen,2754,2014-15,133,-19,True,MEM,33,63,26.2,3.6,7.2,0.495,0.2,0.5,0.345,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,SG,820,441,22.0,3.2,6.6,0.475,0.2,0.5,0.282,1.7,2.3,0.7090000000000001,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1
Sasha Vujacic,2756,2007-08,181,-5,True,LAL,24,72,17.8,3.0,6.7,0.45399999999999996,1.6,3.8,0.43700000000000006,1.1,1.3,0.835,0.3,1.9,2.1,1.0,0.5,0.1,0.7,1.5,8.8,SG,581,58,15.3,1.9,4.7,0.39,0.9,2.5,0.36700000000000005,0.7,0.8,0.858,0.4,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.3
Beno Udrih,2757,2010-11,62,-102,True,SAC,28,79,34.6,5.2,10.4,0.5,0.8,2.3,0.35700000000000004,2.5,2.9,0.8640000000000001,0.5,2.8,3.4,4.9,1.2,0.1,1.8,2.3,13.7,PG,831,272,21.9,3.3,7.1,0.46299999999999997,0.6,1.6,0.349,1.2,1.5,0.833,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4
Trevor Ariza,2772,2018-19,86,-69,True,TOT,33,69,34.0,4.3,10.7,0.39899999999999997,2.1,6.3,0.33399999999999996,1.9,2.4,0.7929999999999999,0.7,4.7,5.4,3.7,1.3,0.3,1.5,1.9,12.5,SF,1118,769,29.5,3.7,8.8,0.42200000000000004,1.4,4.1,0.35100000000000003,1.5,2.1,0.731,1.0,3.8,4.8,2.1,1.5,0.3,1.3,2.0,10.4
Damien Wilkins,2863,2006-07,148,-26,True,SEA,27,82,24.8,3.2,7.3,0.435,0.6,1.5,0.41,1.8,2.1,0.882,1.1,1.7,2.8,1.9,1.1,0.2,1.4,1.9,8.8,SF,582,150,18.9,2.3,5.4,0.426,0.4,1.1,0.327,1.2,1.6,0.7829999999999999,0.8,1.6,2.3,1.4,0.7,0.2,0.9,1.6,6.2
Andrew Bogut,101106,2014-15,64,-21,True,GSW,30,67,23.6,3.0,5.3,0.563,0.0,0.0,0.0,0.3,0.6,0.524,2.1,6.0,8.1,2.7,0.6,1.7,1.6,2.8,6.3,C,706,661,28.1,4.2,7.9,0.535,0.0,0.0,0.12,1.2,2.1,0.557,2.5,6.2,8.7,2.2,0.6,1.5,1.7,3.1,9.6
Marvin Williams,101107,2018-19,121,-92,True,CHA,33,75,28.4,3.7,8.7,0.42200000000000004,1.9,5.1,0.366,0.9,1.1,0.767,1.0,4.4,5.4,1.2,0.9,0.8,0.6,2.1,10.1,SF,1072,828,28.1,3.7,8.3,0.44299999999999995,1.0,2.7,0.361,1.9,2.4,0.8079999999999999,1.2,4.0,5.2,1.3,0.8,0.5,1.0,2.0,10.2
Chris Paul,101108,2015-16,8,-8,True,LAC,31,74,32.7,7.0,15.1,0.462,1.6,4.4,0.371,4.0,4.4,0.8959999999999999,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,PG,1181,1181,34.5,6.4,13.5,0.47200000000000003,1.3,3.6,0.369,4.0,4.5,0.87,0.6,3.9,4.5,9.5,2.1,0.2,2.4,2.4,18.0
Raymond Felton,101109,2015-16,146,-59,True,DAL,32,80,27.4,3.5,8.5,0.406,0.8,2.7,0.282,1.9,2.2,0.847,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,9.5,PG,971,659,29.7,4.2,10.3,0.41200000000000003,1.0,2.9,0.32899999999999996,1.8,2.2,0.79,0.6,2.4,3.0,5.2,1.2,0.2,2.1,1.9,11.2
Channing Frye,101112,2013-14,118,-73,True,PHX,31,82,28.2,4.1,9.5,0.43200000000000005,2.0,5.3,0.37,1.0,1.2,0.821,0.9,4.2,5.1,1.2,0.7,0.8,1.1,3.0,11.1,PF,890,445,22.2,3.3,7.5,0.44,1.2,3.0,0.38799999999999996,1.0,1.2,0.8220000000000001,0.9,3.6,4.5,1.0,0.5,0.6,0.9,2.5,8.7
Deron Williams,101114,2015-16,78,-47,True,DAL,32,65,32.4,4.9,11.9,0.414,1.5,4.3,0.344,2.8,3.2,0.8690000000000001,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1,PG,845,771,34.2,5.8,13.0,0.445,1.4,3.9,0.35700000000000004,3.4,4.1,0.8220000000000001,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3
Gerald Green,101123,2014-15,190,-40,True,PHX,29,74,19.5,4.4,10.5,0.41600000000000004,1.9,5.2,0.354,1.3,1.6,0.825,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2.0,11.9,SG,658,118,19.8,3.5,8.4,0.41700000000000004,1.5,4.1,0.361,1.3,1.5,0.818,0.5,2.0,2.5,0.9,0.5,0.3,1.1,1.9,9.7
Jarrett Jack,101127,2012-13,78,-74,True,GSW,29,79,29.7,4.9,10.8,0.452,1.0,2.6,0.40399999999999997,2.1,2.5,0.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9,PG,867,399,27.8,3.9,8.9,0.44,0.7,2.1,0.34299999999999997,2.3,2.7,0.855,0.3,2.5,2.9,4.6,0.8,0.1,2.0,1.8,10.8
Ian Mahinmi,101133,2013-14,232,36,True,IND,27,77,16.2,1.2,2.5,0.48100000000000004,0.0,0.0,0.0,1.2,1.9,0.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5,C,618,133,16.7,1.9,3.6,0.5329999999999999,0.0,0.1,0.16,1.3,2.1,0.612,1.5,2.9,4.4,0.6,0.6,0.7,1.0,2.6,5.2
David Lee,101135,2012-13,5,-14,True,GSW,30,79,36.8,7.6,14.7,0.519,0.0,0.1,0.0,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5,PF,829,505,29.3,5.5,10.3,0.535,0.0,0.0,0.034,2.5,3.2,0.772,2.6,6.2,8.8,2.2,0.8,0.4,1.8,2.6,13.5
CJ Miles,101139,2016-17,163,-44,True,IND,30,76,23.4,3.7,8.5,0.434,2.2,5.4,0.413,1.1,1.2,0.903,0.4,2.6,3.0,0.6,0.6,0.3,0.5,2.0,10.7,SF,849,303,20.4,3.4,8.3,0.41100000000000003,1.5,4.1,0.358,1.3,1.6,0.809,0.4,1.9,2.4,1.1,0.7,0.3,0.9,2.1,9.6
Ersan Ilyasova,101141,2017-18,101,-96,True,TOT,31,69,25.1,4.0,8.9,0.452,1.3,3.7,0.36,1.5,2.0,0.778,1.7,4.2,5.9,1.3,0.9,0.4,1.0,2.3,10.9,PF,825,424,23.0,3.8,8.5,0.44299999999999995,1.1,2.9,0.36700000000000005,1.5,1.9,0.777,1.7,4.0,5.6,1.1,0.7,0.4,1.0,2.4,10.1
Lou Williams,101150,2019-20,76,-85,True,LAC,33,65,28.7,6.0,14.4,0.418,1.7,4.8,0.35200000000000004,4.5,5.2,0.861,0.5,2.6,3.1,5.6,0.7,0.2,2.8,1.2,18.2,SG,1123,122,24.1,4.5,10.7,0.419,1.3,3.7,0.35100000000000003,3.6,4.3,0.8420000000000001,0.4,1.8,2.2,3.4,0.8,0.2,1.7,1.3,13.9
Marcin Gortat,101162,2016-17,46,-39,True,WAS,33,82,31.2,4.8,8.2,0.579,0.0,0.0,0.0,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,C,806,587,25.7,4.2,7.7,0.551,0.0,0.0,0.15,1.4,2.1,0.68,2.2,5.8,7.9,1.1,0.5,1.1,1.2,2.2,9.9
Jose Calderon,101181,2012-13,68,-32,True,TOT,31,73,29.6,4.3,8.7,0.491,1.8,3.9,0.461,1.0,1.1,0.9,0.3,2.1,2.4,7.1,0.8,0.1,1.7,1.4,11.3,PG,895,591,26.4,3.4,7.2,0.47200000000000003,1.0,2.5,0.40700000000000003,1.0,1.2,0.873,0.3,2.1,2.4,5.8,0.8,0.1,1.5,1.6,8.9
Chuck Hayes,101236,2012-13,181,-67,True,SAC,30,74,16.3,1.1,2.6,0.442,0.0,0.0,0.0,0.4,0.6,0.625,1.5,2.5,4.0,1.5,0.4,0.2,0.6,1.5,2.7,C,644,244,18.3,1.6,3.3,0.498,0.0,0.0,0.0,0.5,0.8,0.62,1.7,3.3,5.0,1.2,0.7,0.4,0.7,2.3,3.7
LaMarcus Aldridge,200746,2014-15,9,-18,True,POR,29,71,35.4,9.3,19.9,0.466,0.5,1.5,0.35200000000000004,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,PF,1076,997,33.7,7.7,15.7,0.493,0.2,0.7,0.32,3.4,4.2,0.813,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1
Randy Foye,200751,2015-16,251,3,True,TOT,32,81,20.3,2.1,6.0,0.35100000000000003,0.9,3.1,0.3,0.8,0.9,0.8240000000000001,0.3,1.6,1.9,2.0,0.5,0.4,1.1,1.6,5.9,SG,752,433,25.6,3.6,9.0,0.401,1.5,4.0,0.366,1.6,1.9,0.852,0.3,1.9,2.2,2.8,0.7,0.3,1.5,2.1,10.3
Rudy Gay,200752,2018-19,65,-63,True,SAS,32,69,26.7,5.4,10.8,0.504,1.1,2.7,0.402,1.7,2.1,0.816,0.9,5.9,6.8,2.6,0.8,0.5,1.7,2.3,13.7,SF,1096,779,31.2,6.0,13.4,0.452,1.1,3.1,0.34700000000000003,2.8,3.5,0.7979999999999999,1.3,4.4,5.7,2.1,1.1,0.7,2.0,2.3,16.0
